Loading manifest and rich feature table
language_es_all_rich: subset=speech_graph_only top_k=20 model=dt:depth20 bal_acc=0.555 auroc=0.497
language_es_all_rich: subset=speech_graph_only top_k=20 model=rf:n200 bal_acc=0.650 auroc=0.697
language_es_all_rich: subset=speech_graph_only top_k=20 model=svm:linear_c1 bal_acc=0.553 auroc=0.570
language_es_all_rich: subset=speech_graph_only top_k=20 model=svm:rbf_c1 bal_acc=0.659 auroc=0.682
language_es_all_rich: subset=speech_graph_only top_k=50 model=lr:c1 bal_acc=0.567 auroc=0.567
language_es_all_rich: subset=speech_graph_only top_k=50 model=dt:depth20 bal_acc=0.555 auroc=0.497
language_es_all_rich: subset=speech_graph_only top_k=50 model=rf:n200 bal_acc=0.650 auroc=0.697
language_es_all_rich: subset=speech_graph_only top_k=50 model=svm:linear_c1 bal_acc=0.553 auroc=0.570
language_es_all_rich: subset=speech_graph_only top_k=50 model=svm:rbf_c1 bal_acc=0.659 auroc=0.682
language_es_all_rich: subset=speech_graph_only top_k=100 model=lr:c1 bal_acc=0.567 auroc=0.567
language_es_all_rich: subset=speech_graph_only top_k=100 model=dt:depth20 bal_acc=0.555 auroc=0.497
language_es_all_rich: subset=speech_graph_only top_k=100 model=rf:n200 bal_acc=0.650 auroc=0.697
language_es_all_rich: subset=speech_graph_only top_k=100 model=svm:linear_c1 bal_acc=0.553 auroc=0.570
language_es_all_rich: subset=speech_graph_only top_k=100 model=svm:rbf_c1 bal_acc=0.659 auroc=0.682
language_es_all_rich: subset=speech_graph_only top_k=all model=lr:c1 bal_acc=0.567 auroc=0.567
language_es_all_rich: subset=speech_graph_only top_k=all model=dt:depth20 bal_acc=0.555 auroc=0.484
language_es_all_rich: subset=speech_graph_only top_k=all model=rf:n200 bal_acc=0.713 auroc=0.696
language_es_all_rich: subset=speech_graph_only top_k=all model=svm:linear_c1 bal_acc=0.553 auroc=0.570
language_es_all_rich: subset=speech_graph_only top_k=all model=svm:rbf_c1 bal_acc=0.659 auroc=0.682
Loading manifest and rich feature table
Validated rich acoustic block: 88 openSMILE eGeMAPS columns detected
Eligible AD_vs_HC rows=3280 groups=2393
Running benchmark_wide_rich: rows=3280 groups=2393 classes={0.0: 2327, 1.0: 953}
benchmark_wide_rich: train rows/groups=2551/1914 test rows/groups=729/479
benchmark_wide_rich: subset=all_universal top_k=5 model=lr:c1 bal_acc=0.599 auroc=0.655
benchmark_wide_rich: subset=all_universal top_k=5 model=dt:depth20 bal_acc=0.629 auroc=0.606
benchmark_wide_rich: subset=all_universal top_k=5 model=rf:n200 bal_acc=0.631 auroc=0.686
benchmark_wide_rich: subset=all_universal top_k=5 model=svm:linear_c1 bal_acc=0.627 auroc=0.672
benchmark_wide_rich: subset=all_universal top_k=5 model=svm:rbf_c1 bal_acc=0.667 auroc=0.710
benchmark_wide_rich: subset=all_universal top_k=10 model=lr:c1 bal_acc=0.666 auroc=0.703
benchmark_wide_rich: subset=all_universal top_k=10 model=dt:depth20 bal_acc=0.665 auroc=0.655
benchmark_wide_rich: subset=all_universal top_k=10 model=rf:n200 bal_acc=0.671 auroc=0.760
benchmark_wide_rich: subset=all_universal top_k=10 model=svm:linear_c1 bal_acc=0.659 auroc=0.712
benchmark_wide_rich: subset=all_universal top_k=10 model=svm:rbf_c1 bal_acc=0.704 auroc=0.755
benchmark_wide_rich: subset=all_universal top_k=20 model=lr:c1 bal_acc=0.690 auroc=0.722
benchmark_wide_rich: subset=all_universal top_k=20 model=dt:depth20 bal_acc=0.664 auroc=0.669
benchmark_wide_rich: subset=all_universal top_k=20 model=rf:n200 bal_acc=0.666 auroc=0.782
benchmark_wide_rich: subset=all_universal top_k=20 model=svm:linear_c1 bal_acc=0.688 auroc=0.738
benchmark_wide_rich: subset=all_universal top_k=20 model=svm:rbf_c1 bal_acc=0.727 auroc=0.773
benchmark_wide_rich: subset=all_universal top_k=50 model=lr:c1 bal_acc=0.721 auroc=0.797
benchmark_wide_rich: subset=all_universal top_k=50 model=dt:depth20 bal_acc=0.673 auroc=0.672
benchmark_wide_rich: subset=all_universal top_k=50 model=rf:n200 bal_acc=0.654 auroc=0.818
benchmark_wide_rich: subset=all_universal top_k=50 model=svm:linear_c1 bal_acc=0.741 auroc=0.797
benchmark_wide_rich: subset=all_universal top_k=50 model=svm:rbf_c1 bal_acc=0.749 auroc=0.818
benchmark_wide_rich: subset=all_universal top_k=100 model=lr:c1 bal_acc=0.697 auroc=0.757
benchmark_wide_rich: subset=all_universal top_k=100 model=dt:depth20 bal_acc=0.676 auroc=0.669
benchmark_wide_rich: subset=all_universal top_k=100 model=rf:n200 bal_acc=0.658 auroc=0.836
benchmark_wide_rich: subset=all_universal top_k=100 model=svm:linear_c1 bal_acc=0.712 auroc=0.759
benchmark_wide_rich: subset=all_universal top_k=100 model=svm:rbf_c1 bal_acc=0.728 auroc=0.812
benchmark_wide_rich: subset=all_universal top_k=all model=lr:c1 bal_acc=0.747 auroc=0.792
benchmark_wide_rich: subset=all_universal top_k=all model=dt:depth20 bal_acc=0.684 auroc=0.683
benchmark_wide_rich: subset=all_universal top_k=all model=rf:n200 bal_acc=0.652 auroc=0.839
benchmark_wide_rich: subset=all_universal top_k=all model=svm:linear_c1 bal_acc=0.732 auroc=0.773
benchmark_wide_rich: subset=all_universal top_k=all model=svm:rbf_c1 bal_acc=0.665 auroc=0.789
benchmark_wide_rich: subset=text_only top_k=5 model=lr:c1 bal_acc=0.599 auroc=0.655
benchmark_wide_rich: subset=text_only top_k=5 model=dt:depth20 bal_acc=0.629 auroc=0.606
benchmark_wide_rich: subset=text_only top_k=5 model=rf:n200 bal_acc=0.631 auroc=0.686
benchmark_wide_rich: subset=text_only top_k=5 model=svm:linear_c1 bal_acc=0.627 auroc=0.672
benchmark_wide_rich: subset=text_only top_k=5 model=svm:rbf_c1 bal_acc=0.667 auroc=0.710
benchmark_wide_rich: subset=text_only top_k=10 model=lr:c1 bal_acc=0.666 auroc=0.703
benchmark_wide_rich: subset=text_only top_k=10 model=dt:depth20 bal_acc=0.665 auroc=0.655
benchmark_wide_rich: subset=text_only top_k=10 model=rf:n200 bal_acc=0.671 auroc=0.760
benchmark_wide_rich: subset=text_only top_k=10 model=svm:linear_c1 bal_acc=0.659 auroc=0.712
benchmark_wide_rich: subset=text_only top_k=10 model=svm:rbf_c1 bal_acc=0.704 auroc=0.755
benchmark_wide_rich: subset=text_only top_k=20 model=lr:c1 bal_acc=0.676 auroc=0.715
benchmark_wide_rich: subset=text_only top_k=20 model=dt:depth20 bal_acc=0.650 auroc=0.651
benchmark_wide_rich: subset=text_only top_k=20 model=rf:n200 bal_acc=0.662 auroc=0.767
benchmark_wide_rich: subset=text_only top_k=20 model=svm:linear_c1 bal_acc=0.676 auroc=0.723
benchmark_wide_rich: subset=text_only top_k=20 model=svm:rbf_c1 bal_acc=0.715 auroc=0.760
benchmark_wide_rich: subset=text_only top_k=50 model=lr:c1 bal_acc=0.692 auroc=0.746
benchmark_wide_rich: subset=text_only top_k=50 model=dt:depth20 bal_acc=0.644 auroc=0.646
benchmark_wide_rich: subset=text_only top_k=50 model=rf:n200 bal_acc=0.657 auroc=0.811
benchmark_wide_rich: subset=text_only top_k=50 model=svm:linear_c1 bal_acc=0.708 auroc=0.746
benchmark_wide_rich: subset=text_only top_k=50 model=svm:rbf_c1 bal_acc=0.729 auroc=0.787
benchmark_wide_rich: subset=text_only top_k=100 model=lr:c1 bal_acc=0.689 auroc=0.750
benchmark_wide_rich: subset=text_only top_k=100 model=dt:depth20 bal_acc=0.640 auroc=0.640
benchmark_wide_rich: subset=text_only top_k=100 model=rf:n200 bal_acc=0.665 auroc=0.801
benchmark_wide_rich: subset=text_only top_k=100 model=svm:linear_c1 bal_acc=0.694 auroc=0.747
benchmark_wide_rich: subset=text_only top_k=100 model=svm:rbf_c1 bal_acc=0.739 auroc=0.790
benchmark_wide_rich: subset=text_only top_k=all model=lr:c1 bal_acc=0.689 auroc=0.750
benchmark_wide_rich: subset=text_only top_k=all model=dt:depth20 bal_acc=0.649 auroc=0.647
benchmark_wide_rich: subset=text_only top_k=all model=rf:n200 bal_acc=0.659 auroc=0.804
benchmark_wide_rich: subset=text_only top_k=all model=svm:linear_c1 bal_acc=0.694 auroc=0.747
benchmark_wide_rich: subset=text_only top_k=all model=svm:rbf_c1 bal_acc=0.739 auroc=0.790
benchmark_wide_rich: subset=pause_only top_k=5 model=lr:c1 bal_acc=0.590 auroc=0.622
benchmark_wide_rich: subset=pause_only top_k=5 model=dt:depth20 bal_acc=0.630 auroc=0.598
benchmark_wide_rich: subset=pause_only top_k=5 model=rf:n200 bal_acc=0.625 auroc=0.651
benchmark_wide_rich: subset=pause_only top_k=5 model=svm:linear_c1 bal_acc=0.600 auroc=0.635
benchmark_wide_rich: subset=pause_only top_k=5 model=svm:rbf_c1 bal_acc=0.575 auroc=0.606
benchmark_wide_rich: subset=pause_only top_k=10 model=lr:c1 bal_acc=0.586 auroc=0.613
benchmark_wide_rich: subset=pause_only top_k=10 model=dt:depth20 bal_acc=0.631 auroc=0.614
benchmark_wide_rich: subset=pause_only top_k=10 model=rf:n200 bal_acc=0.626 auroc=0.644
benchmark_wide_rich: subset=pause_only top_k=10 model=svm:linear_c1 bal_acc=0.577 auroc=0.635
benchmark_wide_rich: subset=pause_only top_k=10 model=svm:rbf_c1 bal_acc=0.569 auroc=0.622
benchmark_wide_rich: subset=pause_only top_k=20 model=lr:c1 bal_acc=0.583 auroc=0.570
benchmark_wide_rich: subset=pause_only top_k=20 model=dt:depth20 bal_acc=0.648 auroc=0.635
benchmark_wide_rich: subset=pause_only top_k=20 model=rf:n200 bal_acc=0.621 auroc=0.635
benchmark_wide_rich: subset=pause_only top_k=20 model=svm:linear_c1 bal_acc=0.576 auroc=0.611
benchmark_wide_rich: subset=pause_only top_k=20 model=svm:rbf_c1 bal_acc=0.578 auroc=0.639
benchmark_wide_rich: subset=pause_only top_k=50 model=lr:c1 bal_acc=0.575 auroc=0.560
benchmark_wide_rich: subset=pause_only top_k=50 model=dt:depth20 bal_acc=0.632 auroc=0.609
benchmark_wide_rich: subset=pause_only top_k=50 model=rf:n200 bal_acc=0.613 auroc=0.635
benchmark_wide_rich: subset=pause_only top_k=50 model=svm:linear_c1 bal_acc=0.573 auroc=0.607
benchmark_wide_rich: subset=pause_only top_k=50 model=svm:rbf_c1 bal_acc=0.578 auroc=0.639
benchmark_wide_rich: subset=pause_only top_k=100 model=lr:c1 bal_acc=0.575 auroc=0.560
benchmark_wide_rich: subset=pause_only top_k=100 model=dt:depth20 bal_acc=0.632 auroc=0.609
benchmark_wide_rich: subset=pause_only top_k=100 model=rf:n200 bal_acc=0.613 auroc=0.635
benchmark_wide_rich: subset=pause_only top_k=100 model=svm:linear_c1 bal_acc=0.573 auroc=0.607
benchmark_wide_rich: subset=pause_only top_k=100 model=svm:rbf_c1 bal_acc=0.578 auroc=0.639
benchmark_wide_rich: subset=pause_only top_k=all model=lr:c1 bal_acc=0.575 auroc=0.560
benchmark_wide_rich: subset=pause_only top_k=all model=dt:depth20 bal_acc=0.649 auroc=0.637
benchmark_wide_rich: subset=pause_only top_k=all model=rf:n200 bal_acc=0.617 auroc=0.637
benchmark_wide_rich: subset=pause_only top_k=all model=svm:linear_c1 bal_acc=0.573 auroc=0.607
benchmark_wide_rich: subset=pause_only top_k=all model=svm:rbf_c1 bal_acc=0.578 auroc=0.639
benchmark_wide_rich: subset=speech_graph_only top_k=5 model=lr:c1 bal_acc=0.507 auroc=0.502
benchmark_wide_rich: subset=speech_graph_only top_k=5 model=dt:depth20 bal_acc=0.594 auroc=0.599
benchmark_wide_rich: subset=speech_graph_only top_k=5 model=rf:n200 bal_acc=0.584 auroc=0.649
benchmark_wide_rich: subset=speech_graph_only top_k=5 model=svm:linear_c1 bal_acc=0.507 auroc=0.503
benchmark_wide_rich: subset=speech_graph_only top_k=5 model=svm:rbf_c1 bal_acc=0.524 auroc=0.542
benchmark_wide_rich: subset=speech_graph_only top_k=10 model=lr:c1 bal_acc=0.507 auroc=0.502
benchmark_wide_rich: subset=speech_graph_only top_k=10 model=dt:depth20 bal_acc=0.594 auroc=0.599
benchmark_wide_rich: subset=speech_graph_only top_k=10 model=rf:n200 bal_acc=0.584 auroc=0.649
benchmark_wide_rich: subset=speech_graph_only top_k=10 model=svm:linear_c1 bal_acc=0.507 auroc=0.503
benchmark_wide_rich: subset=speech_graph_only top_k=10 model=svm:rbf_c1 bal_acc=0.524 auroc=0.542
benchmark_wide_rich: subset=speech_graph_only top_k=20 model=lr:c1 bal_acc=0.507 auroc=0.502
benchmark_wide_rich: subset=speech_graph_only top_k=20 model=dt:depth20 bal_acc=0.594 auroc=0.599
benchmark_wide_rich: subset=speech_graph_only top_k=20 model=rf:n200 bal_acc=0.584 auroc=0.649
benchmark_wide_rich: subset=speech_graph_only top_k=20 model=svm:linear_c1 bal_acc=0.507 auroc=0.503
benchmark_wide_rich: subset=speech_graph_only top_k=20 model=svm:rbf_c1 bal_acc=0.524 auroc=0.542
benchmark_wide_rich: subset=speech_graph_only top_k=50 model=lr:c1 bal_acc=0.507 auroc=0.502
benchmark_wide_rich: subset=speech_graph_only top_k=50 model=dt:depth20 bal_acc=0.594 auroc=0.599
benchmark_wide_rich: subset=speech_graph_only top_k=50 model=rf:n200 bal_acc=0.584 auroc=0.649
benchmark_wide_rich: subset=speech_graph_only top_k=50 model=svm:linear_c1 bal_acc=0.507 auroc=0.503
benchmark_wide_rich: subset=speech_graph_only top_k=50 model=svm:rbf_c1 bal_acc=0.524 auroc=0.542
benchmark_wide_rich: subset=speech_graph_only top_k=100 model=lr:c1 bal_acc=0.507 auroc=0.502
benchmark_wide_rich: subset=speech_graph_only top_k=100 model=dt:depth20 bal_acc=0.594 auroc=0.599
benchmark_wide_rich: subset=speech_graph_only top_k=100 model=rf:n200 bal_acc=0.584 auroc=0.649
benchmark_wide_rich: subset=speech_graph_only top_k=100 model=svm:linear_c1 bal_acc=0.507 auroc=0.503
benchmark_wide_rich: subset=speech_graph_only top_k=100 model=svm:rbf_c1 bal_acc=0.524 auroc=0.542
benchmark_wide_rich: subset=speech_graph_only top_k=all model=lr:c1 bal_acc=0.507 auroc=0.502
benchmark_wide_rich: subset=speech_graph_only top_k=all model=dt:depth20 bal_acc=0.595 auroc=0.596
benchmark_wide_rich: subset=speech_graph_only top_k=all model=rf:n200 bal_acc=0.591 auroc=0.646
benchmark_wide_rich: subset=speech_graph_only top_k=all model=svm:linear_c1 bal_acc=0.507 auroc=0.503
benchmark_wide_rich: subset=speech_graph_only top_k=all model=svm:rbf_c1 bal_acc=0.524 auroc=0.542
benchmark_wide_rich: subset=acoustic_only top_k=5 model=lr:c1 bal_acc=0.617 auroc=0.629
benchmark_wide_rich: subset=acoustic_only top_k=5 model=dt:depth20 bal_acc=0.559 auroc=0.535
benchmark_wide_rich: subset=acoustic_only top_k=5 model=rf:n200 bal_acc=0.559 auroc=0.549
benchmark_wide_rich: subset=acoustic_only top_k=5 model=svm:linear_c1 bal_acc=0.609 auroc=0.590
benchmark_wide_rich: subset=acoustic_only top_k=5 model=svm:rbf_c1 bal_acc=0.616 auroc=0.620
benchmark_wide_rich: subset=acoustic_only top_k=10 model=lr:c1 bal_acc=0.622 auroc=0.652
benchmark_wide_rich: subset=acoustic_only top_k=10 model=dt:depth20 bal_acc=0.535 auroc=0.489
benchmark_wide_rich: subset=acoustic_only top_k=10 model=rf:n200 bal_acc=0.600 auroc=0.618
benchmark_wide_rich: subset=acoustic_only top_k=10 model=svm:linear_c1 bal_acc=0.607 auroc=0.611
benchmark_wide_rich: subset=acoustic_only top_k=10 model=svm:rbf_c1 bal_acc=0.603 auroc=0.614
benchmark_wide_rich: subset=acoustic_only top_k=20 model=lr:c1 bal_acc=0.632 auroc=0.670
benchmark_wide_rich: subset=acoustic_only top_k=20 model=dt:depth20 bal_acc=0.612 auroc=0.626
benchmark_wide_rich: subset=acoustic_only top_k=20 model=rf:n200 bal_acc=0.626 auroc=0.663
benchmark_wide_rich: subset=acoustic_only top_k=20 model=svm:linear_c1 bal_acc=0.629 auroc=0.633
benchmark_wide_rich: subset=acoustic_only top_k=20 model=svm:rbf_c1 bal_acc=0.630 auroc=0.616
benchmark_wide_rich: subset=acoustic_only top_k=50 model=lr:c1 bal_acc=0.642 auroc=0.686
benchmark_wide_rich: subset=acoustic_only top_k=50 model=dt:depth20 bal_acc=0.548 auroc=0.510
benchmark_wide_rich: subset=acoustic_only top_k=50 model=rf:n200 bal_acc=0.578 auroc=0.609
benchmark_wide_rich: subset=acoustic_only top_k=50 model=svm:linear_c1 bal_acc=0.638 auroc=0.651
benchmark_wide_rich: subset=acoustic_only top_k=50 model=svm:rbf_c1 bal_acc=0.549 auroc=0.609
benchmark_wide_rich: subset=acoustic_only top_k=100 model=lr:c1 bal_acc=0.620 auroc=0.648
benchmark_wide_rich: subset=acoustic_only top_k=100 model=dt:depth20 bal_acc=0.606 auroc=0.613
benchmark_wide_rich: subset=acoustic_only top_k=100 model=rf:n200 bal_acc=0.582 auroc=0.600
benchmark_wide_rich: subset=acoustic_only top_k=100 model=svm:linear_c1 bal_acc=0.629 auroc=0.652
benchmark_wide_rich: subset=acoustic_only top_k=100 model=svm:rbf_c1 bal_acc=0.542 auroc=0.606
benchmark_wide_rich: subset=acoustic_only top_k=all model=lr:c1 bal_acc=0.630 auroc=0.660
benchmark_wide_rich: subset=acoustic_only top_k=all model=dt:depth20 bal_acc=0.559 auroc=0.529
benchmark_wide_rich: subset=acoustic_only top_k=all model=rf:n200 bal_acc=0.557 auroc=0.564
benchmark_wide_rich: subset=acoustic_only top_k=all model=svm:linear_c1 bal_acc=0.622 auroc=0.651
benchmark_wide_rich: subset=acoustic_only top_k=all model=svm:rbf_c1 bal_acc=0.541 auroc=0.603
benchmark_wide_rich: subset=text_plus_pause top_k=5 model=lr:c1 bal_acc=0.599 auroc=0.655
benchmark_wide_rich: subset=text_plus_pause top_k=5 model=dt:depth20 bal_acc=0.629 auroc=0.606
benchmark_wide_rich: subset=text_plus_pause top_k=5 model=rf:n200 bal_acc=0.631 auroc=0.686
benchmark_wide_rich: subset=text_plus_pause top_k=5 model=svm:linear_c1 bal_acc=0.627 auroc=0.672
benchmark_wide_rich: subset=text_plus_pause top_k=5 model=svm:rbf_c1 bal_acc=0.667 auroc=0.710
benchmark_wide_rich: subset=text_plus_pause top_k=10 model=lr:c1 bal_acc=0.666 auroc=0.703
benchmark_wide_rich: subset=text_plus_pause top_k=10 model=dt:depth20 bal_acc=0.665 auroc=0.655
benchmark_wide_rich: subset=text_plus_pause top_k=10 model=rf:n200 bal_acc=0.671 auroc=0.760
benchmark_wide_rich: subset=text_plus_pause top_k=10 model=svm:linear_c1 bal_acc=0.659 auroc=0.712
benchmark_wide_rich: subset=text_plus_pause top_k=10 model=svm:rbf_c1 bal_acc=0.704 auroc=0.755
benchmark_wide_rich: subset=text_plus_pause top_k=20 model=lr:c1 bal_acc=0.676 auroc=0.715
benchmark_wide_rich: subset=text_plus_pause top_k=20 model=dt:depth20 bal_acc=0.650 auroc=0.651
benchmark_wide_rich: subset=text_plus_pause top_k=20 model=rf:n200 bal_acc=0.662 auroc=0.767
benchmark_wide_rich: subset=text_plus_pause top_k=20 model=svm:linear_c1 bal_acc=0.676 auroc=0.723
benchmark_wide_rich: subset=text_plus_pause top_k=20 model=svm:rbf_c1 bal_acc=0.715 auroc=0.760
benchmark_wide_rich: subset=text_plus_pause top_k=50 model=lr:c1 bal_acc=0.667 auroc=0.739
benchmark_wide_rich: subset=text_plus_pause top_k=50 model=dt:depth20 bal_acc=0.626 auroc=0.624
benchmark_wide_rich: subset=text_plus_pause top_k=50 model=rf:n200 bal_acc=0.648 auroc=0.809
benchmark_wide_rich: subset=text_plus_pause top_k=50 model=svm:linear_c1 bal_acc=0.682 auroc=0.738
benchmark_wide_rich: subset=text_plus_pause top_k=50 model=svm:rbf_c1 bal_acc=0.703 auroc=0.774
benchmark_wide_rich: subset=text_plus_pause top_k=100 model=lr:c1 bal_acc=0.685 auroc=0.736
benchmark_wide_rich: subset=text_plus_pause top_k=100 model=dt:depth20 bal_acc=0.650 auroc=0.642
benchmark_wide_rich: subset=text_plus_pause top_k=100 model=rf:n200 bal_acc=0.652 auroc=0.797
benchmark_wide_rich: subset=text_plus_pause top_k=100 model=svm:linear_c1 bal_acc=0.698 auroc=0.727
benchmark_wide_rich: subset=text_plus_pause top_k=100 model=svm:rbf_c1 bal_acc=0.699 auroc=0.771
benchmark_wide_rich: subset=text_plus_pause top_k=all model=lr:c1 bal_acc=0.686 auroc=0.736
benchmark_wide_rich: subset=text_plus_pause top_k=all model=dt:depth20 bal_acc=0.651 auroc=0.643
benchmark_wide_rich: subset=text_plus_pause top_k=all model=rf:n200 bal_acc=0.644 auroc=0.794
benchmark_wide_rich: subset=text_plus_pause top_k=all model=svm:linear_c1 bal_acc=0.698 auroc=0.727
benchmark_wide_rich: subset=text_plus_pause top_k=all model=svm:rbf_c1 bal_acc=0.699 auroc=0.771
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=5 model=lr:c1 bal_acc=0.599 auroc=0.655
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=5 model=dt:depth20 bal_acc=0.629 auroc=0.606
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=5 model=rf:n200 bal_acc=0.631 auroc=0.686
